Etunimi;Lukumäärä
Carl-August;9
Carl-Axel;40
Carl-Christian;25
Carl-Emil;14
Carl-Eric;49
Carl-Erik;157
Carl-Fredrik;24
Carl-Göran;20
Carl-Gunnar;7
Carl-Gustaf;98
Carl-Gustav;155
Carl-Henrik;106
Carli;5
Carlito;5
Carl-Johan;353
Carl-Magnus;64
Carl-Martin;6
Carl-Michael;15
Carl-Mikael;36
Carlo;171
Carl-Olav;5
Carl-Olof;29
Carlos;355
Carl-Oscar;37
Carl-Oskar;14
Carl-Otto;9
Carl-Peter;6
Carl-Philip;6
Carlsson;14
Carlton;5
Carl-Uno;7
Carl-Victor;10
Carl-Vilhelm;6
Carl-Wilhelm;19
Carl-William;6
Carmelo;17
Caro;21
Carol;22
Carolus;88
Carson;10
Carsten;21
Carter;8
Cary;17
Casey;15
Cash;7
Casimir;640
Casmir;21
Caspar;82
Casper;1566
Casperi;17
Caspian;224
Cassius;16
Castiel;8
Castor;28
Catalin;10
Cato;5
Cay;83
Cayden;7
Cebastian;5
Cecil;32
Cedric;90
Cédric;10
Cedrik;38
Celal;11
Celestin;5
Cem;26
Cemal;23
Cemil;12
Cengiz;17
Cenneth;9
Cesar;42
César;13
Cesare;8
Cevdet;5
Cevin;23
Chad;5
Chaim;7
Chaiwat;5
Chakib;6
Chan;15
Chandra;23
Chang;6
Chanh;5
Chanon;7
Charalambos;7
Charbel;7
Charl;5
Charles;591
Charlie;182
Chatchai;5
Chau;15
Chege;6
Cheikh;7
Chen;14
Cheng;19
Cherif;8
Cherno;7
Chester;8
Chi;49
Chia;10
Chibueze;10
Chibuike;9
Chibuikem;5
Chibuzor;5
Chidera;11
Chidi;9
Chidiebere;7
Chidubem;10
Chigozie;9
Chijioke;7
Chika;5
Chike;8
Chima;6
Chimezie;10
Chin;5
Chinedu;19
Chinedum;8
Chinh;8
Chisom;9
Cho;8
Choi;6
Chol;10
Choman;6
Chong;6
Chris;160
Christel;5
Christen;7
Christer;2541
Christersson;6
Christiaan;19
Christian;10388
Christiano;14
Christiansson;13
Christjan;7
Christo;15
Christof;7
Christofer;145
Christoff;7
Christoffer;1508
Christoforos;5
Christoph;68
Christophe;39
